#,entity_code,entity_name,license_number,bill_date,etin,brand_name,package_size,package_type,Plan Id,sold_qty
61,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-27,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022120,132
62,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-28,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022986,132
63,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-29,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1022986,88
64,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-29,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023202,88
65,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-30,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023202,85
66,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-01,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023202,143
67,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-02,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023202,211
68,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-03,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023202,132
69,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-04,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023202,177
70,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-05,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023202,163
71,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-06,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023202,165
72,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-07,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023202,144
73,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-08,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,44
