#,indent_number,bottling_plan_id,plan_created_date,etin,code_type,dispatch_date,tp_reference_number,from_entity_code,from_entity_name,to_entity_code,to_entity_name,brand_name,package_size,package_type,dispatched_cases,dispatched_bottles
26,WHOLESALE19802-20250610105129893,BOTTELING_PLAN_1022305,2025-06-02,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-11,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00001500,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,1,45
27,WHOLESALE19802-20250610105129893,BOTTELING_PLAN_1022317,2025-06-02,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-11,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00001500,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,190,8550
28,WHOLESALE19802-20250612102319932,BOTTELING_PLAN_1022732,2025-06-11,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-13,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00001942,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,500,22500
29,WHOLESALE19802-20250617104214163,BOTTELING_PLAN_1022732,2025-06-11,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-17,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00002670,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,1000,45000
30,WHOLESALE19802-20250623121428620,BOTTELING_PLAN_1022986,2025-06-17,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-23,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00003672,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,110,4950
31,WHOLESALE19802-20250623121428620,BOTTELING_PLAN_1023202,2025-06-22,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-23,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00003672,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,390,17550
32,WHOLESALE150197-20250625190705284,BOTTELING_PLAN_1023201,2025-06-22,SIRIS0110D76140400900N26001545FLKAN1106050033,UnMapped,2025-06-26,BOTTELINGCLB102-CLB1-WHOLESALE150197-CL2-GORA-Jun25_00004187,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIJA001,Exicse Depot Vijayawada-I,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,63,2835
33,WHOLESALE150197-20250625190705284,BOTTELING_PLAN_1023202,2025-06-22,SIRIS0110D76140400900N26001545FLKAN1106050033,UnMapped,2025-06-26,BOTTELINGCLB102-CLB1-WHOLESALE150197-CL2-GORA-Jun25_00004187,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIJA001,Exicse Depot Vijayawada-I,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,137,6165
34,WHOLESALE19802-20250627103346348,BOTTELING_PLAN_1023201,2025-06-22,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-27,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00004312,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,48,2160
35,WHOLESALE19802-20250627103346348,BOTTELING_PLAN_1023202,2025-06-22,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-27,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jun25_00004312,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,452,20340
36,WHOLESALE150197-20250703154018448,BOTTELING_PLAN_1023202,2025-06-22,SIRIS0110D76140400900N26001545FLKAN1106050033,UnMapped,2025-07-03,BOTTELINGCLB102-CLB1-WHOLESALE150197-CL2-GORA-Jul25_00000549,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIJA001,Exicse Depot Vijayawada-I,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,100,4500
37,WHOLESALE19802-20250701100927882,BOTTELING_PLAN_1023202,2025-06-22,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-07-01,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jul25_00000013,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,102,4590
38,WHOLESALE19802-20250701100927882,BOTTELING_PLAN_1023483,2025-06-29,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-07-01,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jul25_00000013,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,705,31725
39,WHOLESALE19802-20250701100927882,BOTTELING_PLAN_1023488,2025-06-29,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-07-01,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jul25_00000013,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,193,8685
40,WHOLESALE19802-20250717105705325,BOTTELING_PLAN_1023757,2025-07-05,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-07-17,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jul25_00002763,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,850,38250
41,WHOLESALE19802-20250717105705325,BOTTELING_PLAN_1023954,2025-07-11,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-07-17,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jul25_00002763,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,150,6750
